frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len
"36","May 24, 2022 22:36:02.077787300 PDT","1.104605500","0.000000600","142.250.68.110","172.17.0.2","17","82","eth:ethertype:ip:udp:data","40"
"37","May 24, 2022 22:36:02.077787900 PDT","1.104606100","0.000000600","142.250.68.110","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25"
"38","May 24, 2022 22:36:02.077788500 PDT","1.104606700","0.000000600","142.250.68.110","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25"
"39","May 24, 2022 22:36:02.078005400 PDT","1.104823600","0.000216900","172.17.0.2","142.250.68.110","17","78","eth:ethertype:ip:udp:data","36"
"40","May 24, 2022 22:36:02.078084700 PDT","1.104902900","0.000079300","172.17.0.2","142.250.68.110","17","78","eth:ethertype:ip:udp:data","36"
"41","May 24, 2022 22:36:02.078122000 PDT","1.104940200","0.000037300","172.17.0.2","142.250.68.110","17","76","eth:ethertype:ip:udp:data","34"
"42","May 24, 2022 22:36:02.126902400 PDT","1.153720600","0.048780400","142.250.68.110","172.17.0.2","17","111","eth:ethertype:ip:udp:data","69"
"43","May 24, 2022 22:36:02.127062800 PDT","1.153881000","0.000160400","172.17.0.2","142.250.68.110","17","78","eth:ethertype:ip:udp:data","36"
"44","May 24, 2022 22:36:02.140587300 PDT","1.167405500","0.013524500","142.250.68.110","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25"
"45","May 24, 2022 22:36:02.860192200 PDT","1.887010400","0.719604900","172.17.0.2","74.125.157.138","17","1051","eth:ethertype:ip:udp:data","1009"
"46","May 24, 2022 22:36:02.911109100 PDT","1.937927300","0.050916900","74.125.157.138","172.17.0.2","17","75","eth:ethertype:ip:udp:data","33"
"47","May 24, 2022 22:36:02.911110300 PDT","1.937928500","0.000001200","74.125.157.138","172.17.0.2","17","165","eth:ethertype:ip:udp:data","123"
"48","May 24, 2022 22:36:02.911110900 PDT","1.937929100","0.000000600","74.125.157.138","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"49","May 24, 2022 22:36:02.911331100 PDT","1.938149300","0.000220200","74.125.157.138","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"50","May 24, 2022 22:36:02.911332000 PDT","1.938150200","0.000000900","74.125.157.138","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"51","May 24, 2022 22:36:02.911332600 PDT","1.938150800","0.000000600","74.125.157.138","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"52","May 24, 2022 22:36:02.911333200 PDT","1.938151400","0.000000600","74.125.157.138","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"53","May 24, 2022 22:36:02.911455800 PDT","1.938274000","0.000122600","172.17.0.2","74.125.157.138","17","78","eth:ethertype:ip:udp:data","36"
"54","May 24, 2022 22:36:02.911869500 PDT","1.938687700","0.000413700","74.125.157.138","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"55","May 24, 2022 22:36:02.911870500 PDT","1.938688700","0.000001000","74.125.157.138","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"56","May 24, 2022 22:36:02.911871100 PDT","1.938689300","0.000000600","74.125.157.138","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"57","May 24, 2022 22:36:02.911871700 PDT","1.938689900","0.000000600","74.125.157.138","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"58","May 24, 2022 22:36:02.911872400 PDT","1.938690600","0.000000700","74.125.157.138","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
