frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len
"42","May 24, 2022 22:46:27.833445200 PDT","0.344266700","0.000010000","172.17.0.2","142.250.72.174","6","66","eth:ethertype:ip:tcp",
"43","May 24, 2022 22:46:27.833436200 PDT","0.344257700","-0.000009000","142.250.72.174","172.17.0.2","6","97","eth:ethertype:ip:tcp:tls",
"44","May 24, 2022 22:46:27.833482500 PDT","0.344304000","0.000046300","172.17.0.2","142.250.72.174","6","66","eth:ethertype:ip:tcp",
"45","May 24, 2022 22:46:27.833436900 PDT","0.344258400","-0.000045600","142.250.72.174","172.17.0.2","6","105","eth:ethertype:ip:tcp:tls",
"46","May 24, 2022 22:46:27.833484600 PDT","0.344306100","0.000047700","172.17.0.2","142.250.72.174","6","66","eth:ethertype:ip:tcp",
"47","May 24, 2022 22:46:27.834080900 PDT","0.344902400","0.000596300","172.17.0.2","142.250.72.174","6","105","eth:ethertype:ip:tcp:tls",
"48","May 24, 2022 22:46:27.834103100 PDT","0.344924600","0.000022200","172.17.0.2","142.250.72.174","6","101","eth:ethertype:ip:tcp:tls",
"49","May 24, 2022 22:46:27.870267700 PDT","0.381089200","0.036164600","142.250.72.174","172.17.0.2","6","66","eth:ethertype:ip:tcp",
"50","May 24, 2022 22:46:27.871893600 PDT","0.382715100","0.001625900","142.250.72.174","172.17.0.2","6","66","eth:ethertype:ip:tcp",
"51","May 24, 2022 22:46:29.213167000 PDT","1.723988500","1.341273400",,,,"42","eth:ethertype:arp",
"52","May 24, 2022 22:46:29.213182300 PDT","1.724003800","0.000015300",,,,"42","eth:ethertype:arp",
"53","May 24, 2022 22:46:29.321612500 PDT","1.832434000","0.108430200","172.17.0.2","172.217.14.99","17","144","eth:ethertype:ip:udp:data","102"
"54","May 24, 2022 22:46:29.346718800 PDT","1.857540300","0.025106300","172.17.0.2","142.250.68.86","17","119","eth:ethertype:ip:udp:data","77"
"55","May 24, 2022 22:46:29.350052800 PDT","1.860874300","0.003334000","172.17.0.2","142.251.40.33","17","1292","eth:ethertype:ip:udp:data","1250"
"56","May 24, 2022 22:46:29.350402200 PDT","1.861223700","0.000349400","172.17.0.2","172.20.176.1","17","78","eth:ethertype:ip:udp:dns",
"57","May 24, 2022 22:46:29.351328900 PDT","1.862150400","0.000926700","172.17.0.2","172.20.176.1","17","85","eth:ethertype:ip:udp:dns",
"58","May 24, 2022 22:46:29.351589200 PDT","1.862410700","0.000260300","172.17.0.2","142.250.72.174","17","1055","eth:ethertype:ip:udp:data","1013"
"59","May 24, 2022 22:46:29.351823100 PDT","1.862644600","0.000233900","172.17.0.2","142.250.72.174","17","487","eth:ethertype:ip:udp:data","445"
"60","May 24, 2022 22:46:29.351975300 PDT","1.862796800","0.000152200","172.17.0.2","142.250.72.174","17","814","eth:ethertype:ip:udp:data","772"
"61","May 24, 2022 22:46:29.352105700 PDT","1.862927200","0.000130400","172.17.0.2","142.250.72.130","17","738","eth:ethertype:ip:udp:data","696"
"62","May 24, 2022 22:46:29.363951800 PDT","1.874773300","0.011846100","172.17.0.2","142.250.68.86","17","205","eth:ethertype:ip:udp:data","163"
"63","May 24, 2022 22:46:29.368444700 PDT","1.879266200","0.004492900","172.217.14.99","172.17.0.2","17","187","eth:ethertype:ip:udp:data","145"
"64","May 24, 2022 22:46:29.368445700 PDT","1.879267200","0.000001000","172.217.14.99","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"65","May 24, 2022 22:46:29.368446300 PDT","1.879267800","0.000000600","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
