frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len
"42","May 24, 2022 22:59:42.508525000 PDT","0.575515600","0.001315400","172.17.0.2","142.251.40.33","17","1292","eth:ethertype:ip:udp:data","1250"
"43","May 24, 2022 22:59:42.511966900 PDT","0.578957500","0.003441900","142.250.217.130","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27"
"44","May 24, 2022 22:59:42.514343800 PDT","0.581334400","0.002376900","172.17.0.2","142.250.72.238","17","76","eth:ethertype:ip:udp:data","34"
"45","May 24, 2022 22:59:42.516225900 PDT","0.583216500","0.001882100","142.250.217.150","172.17.0.2","17","70","eth:ethertype:ip:udp:data","28"
"46","May 24, 2022 22:59:42.516226900 PDT","0.583217500","0.000001000","142.251.40.33","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"47","May 24, 2022 22:59:42.516227900 PDT","0.583218500","0.000001000","142.251.40.33","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"48","May 24, 2022 22:59:42.516556800 PDT","0.583547400","0.000328900","172.17.0.2","142.251.40.33","17","83","eth:ethertype:ip:udp:data","41"
"49","May 24, 2022 22:59:42.524908600 PDT","0.591899200","0.008351800","142.250.217.150","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"50","May 24, 2022 22:59:42.525149500 PDT","0.592140100","0.000240900","172.17.0.2","142.250.217.150","17","78","eth:ethertype:ip:udp:data","36"
"51","May 24, 2022 22:59:42.526696200 PDT","0.593686800","0.001546700","142.250.217.150","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"52","May 24, 2022 22:59:42.526697400 PDT","0.593688000","0.000001200","142.250.217.150","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"53","May 24, 2022 22:59:42.526698200 PDT","0.593688800","0.000000800","142.250.217.150","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"54","May 24, 2022 22:59:42.526698900 PDT","0.593689500","0.000000700","142.250.217.150","172.17.0.2","17","1205","eth:ethertype:ip:udp:data","1163"
"55","May 24, 2022 22:59:42.526699600 PDT","0.593690200","0.000000700","142.250.217.150","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26"
"56","May 24, 2022 22:59:42.526849100 PDT","0.593839700","0.000149500","172.17.0.2","142.250.217.150","17","75","eth:ethertype:ip:udp:data","33"
"57","May 24, 2022 22:59:42.526903100 PDT","0.593893700","0.000054000","172.17.0.2","142.250.217.150","17","75","eth:ethertype:ip:udp:data","33"
"58","May 24, 2022 22:59:42.529868400 PDT","0.596859000","0.002965300","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"59","May 24, 2022 22:59:42.533013000 PDT","0.600003600","0.003144600","142.250.217.150","172.17.0.2","17","70","eth:ethertype:ip:udp:data","28"
"60","May 24, 2022 22:59:42.533059500 PDT","0.600050100","0.000046500","142.250.217.150","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"61","May 24, 2022 22:59:42.533293200 PDT","0.600283800","0.000233700","172.17.0.2","142.250.217.150","17","75","eth:ethertype:ip:udp:data","33"
"62","May 24, 2022 22:59:42.533438100 PDT","0.600428700","0.000144900","172.17.0.2","142.250.217.150","17","78","eth:ethertype:ip:udp:data","36"
"63","May 24, 2022 22:59:42.533905700 PDT","0.600896300","0.000467600","142.250.217.150","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"64","May 24, 2022 22:59:42.538124400 PDT","0.605115000","0.004218700","172.17.0.2","142.250.217.130","17","75","eth:ethertype:ip:udp:data","33"
"65","May 24, 2022 22:59:42.546299800 PDT","0.613290400","0.008175400","172.17.0.2","142.250.72.129","17","241","eth:ethertype:ip:udp:data","199"
"66","May 24, 2022 22:59:42.552067400 PDT","0.619058000","0.005767600","142.250.217.150","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"67","May 24, 2022 22:59:42.552068500 PDT","0.619059100","0.000001100","142.250.217.150","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"68","May 24, 2022 22:59:42.552069200 PDT","0.619059800","0.000000700","142.250.217.150","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"69","May 24, 2022 22:59:42.552069800 PDT","0.619060400","0.000000600","142.250.217.150","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"70","May 24, 2022 22:59:42.552070500 PDT","0.619061100","0.000000700","142.250.217.150","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"71","May 24, 2022 22:59:42.552122500 PDT","0.619113100","0.000052000","142.250.72.238","172.17.0.2","17","112","eth:ethertype:ip:udp:data","70"
"72","May 24, 2022 22:59:42.552123600 PDT","0.619114200","0.000001100","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26"
"73","May 24, 2022 22:59:42.552124300 PDT","0.619114900","0.000000700","142.250.72.238","172.17.0.2","17","239","eth:ethertype:ip:udp:data","197"
"74","May 24, 2022 22:59:42.552124900 PDT","0.619115500","0.000000600","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26"
"75","May 24, 2022 22:59:42.552144500 PDT","0.619135100","0.000019600","142.250.217.150","172.17.0.2","17","1167","eth:ethertype:ip:udp:data","1125"
"76","May 24, 2022 22:59:42.552180400 PDT","0.619171000","0.000035900","142.250.72.238","172.17.0.2","17","72","eth:ethertype:ip:udp:data","30"
"77","May 24, 2022 22:59:42.552207900 PDT","0.619198500","0.000027500","142.250.217.130","172.17.0.2","17","159","eth:ethertype:ip:udp:data","117"
"78","May 24, 2022 22:59:42.552209100 PDT","0.619199700","0.000001200","142.250.217.130","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25"
"79","May 24, 2022 22:59:42.552233600 PDT","0.619224200","0.000024500","142.251.40.33","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"80","May 24, 2022 22:59:42.552234500 PDT","0.619225100","0.000000900","142.251.40.33","172.17.0.2","17","643","eth:ethertype:ip:udp:data","601"
"81","May 24, 2022 22:59:42.552264000 PDT","0.619254600","0.000029500","172.17.0.2","142.250.217.150","17","76","eth:ethertype:ip:udp:data","34"
"82","May 24, 2022 22:59:42.552359600 PDT","0.619350200","0.000095600","172.17.0.2","142.250.217.150","17","76","eth:ethertype:ip:udp:data","34"
"83","May 24, 2022 22:59:42.552399500 PDT","0.619390100","0.000039900","172.17.0.2","142.250.217.150","17","76","eth:ethertype:ip:udp:data","34"
"84","May 24, 2022 22:59:42.552437600 PDT","0.619428200","0.000038100","172.17.0.2","142.250.217.150","17","76","eth:ethertype:ip:udp:data","34"
"85","May 24, 2022 22:59:42.552490800 PDT","0.619481400","0.000053200","172.17.0.2","142.250.217.150","17","76","eth:ethertype:ip:udp:data","34"
"86","May 24, 2022 22:59:42.552717800 PDT","0.619708400","0.000227000","172.17.0.2","142.250.72.238","17","80","eth:ethertype:ip:udp:data","38"
"87","May 24, 2022 22:59:42.552870500 PDT","0.619861100","0.000152700","172.17.0.2","142.250.72.238","17","80","eth:ethertype:ip:udp:data","38"
"88","May 24, 2022 22:59:42.553112600 PDT","0.620103200","0.000242100","172.17.0.2","142.250.217.130","17","77","eth:ethertype:ip:udp:data","35"
"89","May 24, 2022 22:59:42.553965300 PDT","0.620955900","0.000852700","172.20.176.1","172.17.0.2","17","170","eth:ethertype:ip:udp:dns",
"90","May 24, 2022 22:59:42.553993600 PDT","0.620984200","0.000028300","172.17.0.2","142.251.40.33","17","205","eth:ethertype:ip:udp:data","163"
"91","May 24, 2022 22:59:42.557085700 PDT","0.624076300","0.003092100","172.17.0.2","142.251.40.33","17","444","eth:ethertype:ip:udp:data","402"
"92","May 24, 2022 22:59:42.557248000 PDT","0.624238600","0.000162300","172.17.0.2","142.250.188.230","6","74","eth:ethertype:ip:tcp",
"93","May 24, 2022 22:59:42.560322600 PDT","0.627313200","0.003074600","172.17.0.2","142.250.72.238","17","76","eth:ethertype:ip:udp:data","34"
"94","May 24, 2022 22:59:42.563713500 PDT","0.630704100","0.003390900","142.250.72.238","172.17.0.2","17","120","eth:ethertype:ip:udp:data","78"
"95","May 24, 2022 22:59:42.563714500 PDT","0.630705100","0.000001000","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26"
"96","May 24, 2022 22:59:42.563938700 PDT","0.630929300","0.000224200","172.17.0.2","142.250.72.238","17","80","eth:ethertype:ip:udp:data","38"
"97","May 24, 2022 22:59:42.564842700 PDT","0.631833300","0.000904000","172.217.14.99","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25"
"98","May 24, 2022 22:59:42.565660900 PDT","0.632651500","0.000818200","142.250.72.238","172.17.0.2","17","131","eth:ethertype:ip:udp:data","89"
"99","May 24, 2022 22:59:42.565794800 PDT","0.632785400","0.000133900","172.17.0.2","142.250.72.238","17","80","eth:ethertype:ip:udp:data","38"
"100","May 24, 2022 22:59:42.566229100 PDT","0.633219700","0.000434300","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26"
"101","May 24, 2022 22:59:42.575025500 PDT","0.642016100","0.008796400","172.17.0.2","142.250.72.238","17","76","eth:ethertype:ip:udp:data","34"
"102","May 24, 2022 22:59:42.579271600 PDT","0.646262200","0.004246100","172.17.0.2","142.250.217.130","17","75","eth:ethertype:ip:udp:data","33"
"103","May 24, 2022 22:59:42.581967200 PDT","0.648957800","0.002695600","142.250.217.150","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26"
"104","May 24, 2022 22:59:42.588840500 PDT","0.655831100","0.006873300","142.251.40.33","172.17.0.2","17","665","eth:ethertype:ip:udp:data","623"
"105","May 24, 2022 22:59:42.588841600 PDT","0.655832200","0.000001100","142.251.40.33","172.17.0.2","17","135","eth:ethertype:ip:udp:data","93"
"106","May 24, 2022 22:59:42.589120700 PDT","0.656111300","0.000279100","172.17.0.2","142.251.40.33","17","75","eth:ethertype:ip:udp:data","33"
"107","May 24, 2022 22:59:42.591714300 PDT","0.658704900","0.002593600","142.250.72.129","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27"
"108","May 24, 2022 22:59:42.591714200 PDT","0.658704800","-0.000000100","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26"
"109","May 24, 2022 22:59:42.594033300 PDT","0.661023900","0.002319100","142.250.72.129","172.17.0.2","17","328","eth:ethertype:ip:udp:data","286"
"110","May 24, 2022 22:59:42.594033300 PDT","0.661023900","0.000000000","142.250.188.230","172.17.0.2","6","74","eth:ethertype:ip:tcp",
"111","May 24, 2022 22:59:42.594087100 PDT","0.661077700","0.000053800","172.17.0.2","142.250.188.230","6","66","eth:ethertype:ip:tcp",
"112","May 24, 2022 22:59:42.594393200 PDT","0.661383800","0.000306100","172.17.0.2","142.250.72.129","17","77","eth:ethertype:ip:udp:data","35"
"113","May 24, 2022 22:59:42.594561100 PDT","0.661551700","0.000167900","172.17.0.2","142.250.188.230","6","583","eth:ethertype:ip:tcp:tls",
"114","May 24, 2022 22:59:42.595141500 PDT","0.662132100","0.000580400","142.251.40.33","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27"
"115","May 24, 2022 22:59:42.595142500 PDT","0.662133100","0.000001000","142.251.40.33","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"116","May 24, 2022 22:59:42.595203600 PDT","0.662194200","0.000061100","142.251.40.33","172.17.0.2","17","1130","eth:ethertype:ip:udp:data","1088"
"117","May 24, 2022 22:59:42.595438900 PDT","0.662429500","0.000235300","172.17.0.2","142.251.40.33","17","77","eth:ethertype:ip:udp:data","35"
"118","May 24, 2022 22:59:42.597821800 PDT","0.664812400","0.002382900","172.17.0.2","142.250.72.129","17","116","eth:ethertype:ip:udp:data","74"
"119","May 24, 2022 22:59:42.600086100 PDT","0.667076700","0.002264300","142.250.217.150","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"120","May 24, 2022 22:59:42.607426900 PDT","0.674417500","0.007340800","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26"
"121","May 24, 2022 22:59:42.613453600 PDT","0.680444200","0.006026700","142.250.217.130","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25"
"122","May 24, 2022 22:59:42.621282600 PDT","0.688273200","0.007829000","172.17.0.2","142.251.40.33","17","75","eth:ethertype:ip:udp:data","33"
"123","May 24, 2022 22:59:42.625580400 PDT","0.692571000","0.004297800","172.17.0.2","142.250.217.150","17","77","eth:ethertype:ip:udp:data","35"
"124","May 24, 2022 22:59:42.631621400 PDT","0.698612000","0.006041000","142.250.188.230","172.17.0.2","6","66","eth:ethertype:ip:tcp",
"125","May 24, 2022 22:59:42.631622600 PDT","0.698613200","0.000001200","142.250.188.230","172.17.0.2","6","66","eth:ethertype:ip:tcp",
"126","May 24, 2022 22:59:42.636180400 PDT","0.703171000","0.004557800","172.20.176.1","172.17.0.2","17","126","eth:ethertype:ip:udp:dns",
"127","May 24, 2022 22:59:42.636464300 PDT","0.703454900","0.000283900","172.17.0.2","142.250.72.162","6","74","eth:ethertype:ip:tcp",
"128","May 24, 2022 22:59:42.636507100 PDT","0.703497700","0.000042800","172.17.0.2","142.250.72.162","6","74","eth:ethertype:ip:tcp",
"129","May 24, 2022 22:59:42.638758700 PDT","0.705749300","0.002251600","142.250.188.230","172.17.0.2","6","2902","eth:ethertype:ip:tcp:tls",
"130","May 24, 2022 22:59:42.638767600 PDT","0.705758200","0.000008900","172.17.0.2","142.250.188.230","6","66","eth:ethertype:ip:tcp",
"131","May 24, 2022 22:59:42.638759800 PDT","0.705750400","-0.000007800","142.250.188.230","172.17.0.2","6","1910","eth:ethertype:ip:tcp:tls",
"132","May 24, 2022 22:59:42.638815500 PDT","0.705806100","0.000055700","172.17.0.2","142.250.188.230","6","66","eth:ethertype:ip:tcp",
"133","May 24, 2022 22:59:42.641247800 PDT","0.708238400","0.002432300","172.17.0.2","142.250.188.230","6","140","eth:ethertype:ip:tcp:tls",
"134","May 24, 2022 22:59:42.641389700 PDT","0.708380300","0.000141900","172.17.0.2","142.250.188.230","6","158","eth:ethertype:ip:tcp:tls",
"135","May 24, 2022 22:59:42.641485000 PDT","0.708475600","0.000095300","172.17.0.2","142.250.188.230","6","696","eth:ethertype:ip:tcp:tls",
"136","May 24, 2022 22:59:42.647803500 PDT","0.714794100","0.006318500","142.250.72.129","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27"
"137","May 24, 2022 22:59:42.648215600 PDT","0.715206200","0.000412100","142.250.72.129","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"138","May 24, 2022 22:59:42.648577100 PDT","0.715567700","0.000361500","172.17.0.2","142.250.72.129","17","77","eth:ethertype:ip:udp:data","35"
"139","May 24, 2022 22:59:42.648661700 PDT","0.715652300","0.000084600","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"140","May 24, 2022 22:59:42.648662700 PDT","0.715653300","0.000001000","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"141","May 24, 2022 22:59:42.648663400 PDT","0.715654000","0.000000700","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"142","May 24, 2022 22:59:42.648664000 PDT","0.715654600","0.000000600","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"143","May 24, 2022 22:59:42.648664600 PDT","0.715655200","0.000000600","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"144","May 24, 2022 22:59:42.648665200 PDT","0.715655800","0.000000600","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"145","May 24, 2022 22:59:42.648665800 PDT","0.715656400","0.000000600","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"146","May 24, 2022 22:59:42.648666500 PDT","0.715657100","0.000000700","142.250.72.129","172.17.0.2","17","1155","eth:ethertype:ip:udp:data","1113"
"147","May 24, 2022 22:59:42.649781900 PDT","0.716772500","0.001115400","172.17.0.2","142.250.72.129","17","75","eth:ethertype:ip:udp:data","33"
"148","May 24, 2022 22:59:42.649854800 PDT","0.716845400","0.000072900","172.17.0.2","142.250.72.129","17","75","eth:ethertype:ip:udp:data","33"
"149","May 24, 2022 22:59:42.649895300 PDT","0.716885900","0.000040500","172.17.0.2","142.250.72.129","17","75","eth:ethertype:ip:udp:data","33"
"150","May 24, 2022 22:59:42.649934700 PDT","0.716925300","0.000039400","172.17.0.2","142.250.72.129","17","75","eth:ethertype:ip:udp:data","33"
"151","May 24, 2022 22:59:42.657201500 PDT","0.724192100","0.007266800","142.251.40.33","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25"
"152","May 24, 2022 22:59:42.660044200 PDT","0.727034800","0.002842700","142.250.72.162","172.17.0.2","6","74","eth:ethertype:ip:tcp",
"153","May 24, 2022 22:59:42.660060200 PDT","0.727050800","0.000016000","172.17.0.2","142.250.72.162","6","66","eth:ethertype:ip:tcp",
"154","May 24, 2022 22:59:42.660223600 PDT","0.727214200","0.000163400","172.17.0.2","142.250.72.162","6","583","eth:ethertype:ip:tcp:tls",
"155","May 24, 2022 22:59:42.677578100 PDT","0.744568700","0.017354500","142.250.72.162","172.17.0.2","6","74","eth:ethertype:ip:tcp",
"156","May 24, 2022 22:59:42.677578000 PDT","0.744568600","-0.000000100","142.250.188.230","172.17.0.2","6","66","eth:ethertype:ip:tcp",
"157","May 24, 2022 22:59:42.677579200 PDT","0.744569800","0.000001200","142.250.188.230","172.17.0.2","6","982","eth:ethertype:ip:tcp:tls",
"158","May 24, 2022 22:59:42.677593600 PDT","0.744584200","0.000014400","172.17.0.2","142.250.188.230","6","66","eth:ethertype:ip:tcp",
"159","May 24, 2022 22:59:42.677680300 PDT","0.744670900","0.000086700","172.17.0.2","142.250.72.162","6","66","eth:ethertype:ip:tcp",
"160","May 24, 2022 22:59:42.677698500 PDT","0.744689100","0.000018200","142.250.188.230","172.17.0.2","6","97","eth:ethertype:ip:tcp:tls",
"161","May 24, 2022 22:59:42.677702100 PDT","0.744692700","0.000003600","172.17.0.2","142.250.188.230","6","66","eth:ethertype:ip:tcp",
